video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=8fH64fAj_BY&pp=ygUGZGV0YWlu,/@WeAreIowa,We Are Iowa Local 5 News,ICE agents detain and release US citizen in Minnesota,1.5K,1 day,ChongLy “Scott” Thao told the AP that his daughter-in-law alerted him on Sunday afternoon that ICE agents were banging on his ...,2026-01-22 02:44:39.918517
/watch?v=7Zx3HIDIqsM&pp=ygUGZGV0YWlu,/@ABCNews,ABC News,New York City council employee detained by ICE,19K,8 days,"A New York City Council employee was detained during a ""routine"" immigration appointment on Long Island on Monday, ...",2026-01-22 02:44:39.919780
/watch?v=rr7j4AKanHo&pp=ygUGZGV0YWlu,/@KCAUTVSiouxCity,KCAU-TV Sioux City,Federal Officers in MN Immigration Operation Can't Detain or Tear Gas Protesters per Judge,161K,4 days,Federal Officers in MN Immigration Operation Can't Detain or Tear Gas Protesters per Judge.,2026-01-22 02:44:39.921062
/watch?v=T8Rwsj-1BPQ&pp=ygUGZGV0YWlu0gcJCYcKAYcqIYzv,/@senadamschiff,Sen. Adam Schiff,U.S. Citizens Wrongly Detained by ICE: It Could Happen to You,109K,1 month,I spoke with three Californians — U.S. citizens —who described the abuse and mistreatment they endured after being wrongfully ...,2026-01-22 02:44:39.922228
/watch?v=OHuvthAFnoE&pp=ygUGZGV0YWlu,/@NBCNews,NBC News,"Judge orders release of hundreds of people detained by ICE, CBP in Chicago",180K,2 months,A judge ordered the release of hundreds of individuals detained by federal agents in Chicago. NBC News' Julia Ainsley explains ...,2026-01-22 02:44:39.923400
/watch?v=kZA2WZGoZT8&pp=ygUGZGV0YWlu,/@fox9,FOX 9 Minneapolis-St. Paul,Oglala Sioux tribal members detained by ICE in MN,559K,5 days,"Four members of the Oglala Sioux tribe were detained by ICE. One member has been released but three are still missing, ...",2026-01-22 02:44:39.925578
/shorts/Jo02FumLP90,/@politicalasylumlawyers,Political Asylum Lawyers,Federal judge rules immigration officers cannot detain or tear-gas peaceful protesters in,No,23 hours,Federal judge rules immigration officers cannot detain or tear-gas peaceful protesters in Minneapolis.,2026-01-22 02:44:46.321619
/shorts/vW5KFxTX4ck,/@nbcsandiego,NBC 7 San Diego,ICE is detaining more people during check-ins at San Diego immigration court | NBC 7 San Diego,9.3K,3 months,ICE has begun detaining more people during check-ins at the federal building in downtown San Diego in recent days — an ...,2026-01-22 02:44:46.323079
/shorts/AR_s-VngEHQ,/@azfamily,Arizona’s Family (3TV / CBS 5) ,Navajo man says he was detained by ICE in Peoria,7.6K,1 day,A Navajo man said he was detained by ICE agents in Peoria earlier this month despite providing documentation of his tribal ...,2026-01-22 02:44:46.324460
/shorts/uTXpjKvL8Rw,/@InspectorWatch,Inspector Watch,Cops detain him on private property biggest career mistake,889K,4 weeks,Am I being detained right now What's that Am I being detained right now Yes you are For what reason sir For what reason Yes For ...,2026-01-22 02:44:46.325767
/shorts/u7VYq1j8U8s,/@msnow,MS NOW,Hear witness testimony from U.S. citizens detained by federal agents after ICE shootings,1.3M,5 days,Lawmakers in Minnesota held a field hearing about ICE's enforcement tactics in the state after the killing of Renee Good.,2026-01-22 02:44:46.327841
/shorts/TP5sNilbJJ4,/@DemocracyNow,Democracy Now!,ICE detained a U.S. citizen for three days without charge,435K,4 months,George Retes is a U.S. citizen and Army veteran who was detained by ICE for three days without charge.,2026-01-22 02:44:46.329206
/shorts/msO63erfrGI,/@Newsweek,Newsweek,New York City Council Demands Release Of Employee Detained By ICE,46K,8 days,A New York City Council employee was detained by federal immigration officials during a routine immigration appointment in ...,2026-01-22 02:44:46.330533
/watch?v=JDxKqTb0s9I&pp=ygUGZGV0YWlu,/@nypost,New York Post,NYC Council Worker Detained by ICE at Court Appointment,21K,9 days,A New York City Council staffer was detained by ICE officials when he showed up to a routine court check-in at a Long Island ...,2026-01-22 02:44:46.331820
/shorts/OFih862s3co,/@BradBernsteinLaw,Brad Bernstein Law,Detained at the airport? Here’s the step-by-step checklist every green card holder should carry when,45K,4 months,Detained at the airport? Here's the step-by-step checklist every green card holder should carry when traveling. Secondary ...,2026-01-22 02:44:46.333095
/watch?v=TeG9uCOZTSE&pp=ygUGZGV0YWlu,/@USATODAY,USA TODAY,"ICE may detain Alabama father of 6, splitting family",1.4K,2 months,"Antonio may be detained by ICE on Oct. 29, leaving behind his wife Chelsea and U.S.-citizen children. Read more: ...",2026-01-22 02:44:46.334409
/watch?v=14SmVeMLu78&pp=ygUGZGV0YWlu,/@NYCCouncil,New York City Council,🔴 LIVE: NYC Council Employee Detained by ICE; Speaker Menin Provides Emergency Update,292K,Streamed 9 days,"Streamed live from the Red Room at City Hall on Monday, January 12, 2025.",2026-01-22 02:44:46.335552
/shorts/vtQ1V2LLRxE,/@komonews,KOMO News,Reporter questions White House after reports of Americans being detained by ICE,25K,6 days,White House Press Secretary Karoline Leavitt sharply criticized a reporter for accusing the U.S. Immigration and Customs ...,2026-01-22 02:44:46.336897
/watch?v=Nr-kqNM1e-I&pp=ygUGZGV0YWlu,/@nbcsandiego,NBC 7 San Diego,San Diego man returns home after being detained by ICE | NBC 7 San Diego,91K,2 months,"After nearly three months in ICE detention, a San Diego man is now home, reports NBC 7's Shelby Bremer, who spoke exclusively ...",2026-01-22 02:44:46.339575
/watch?v=y4YcwbCLuiU&pp=ygUGZGV0YWlu,/@CBSChicago,CBS Chicago,ICE agents detain teacher at North Center daycare,19K,2 months,"ICE agents ""violently"" detained a teacher at a North Center Spanish immersion daycare and school Wednesday morning.",2026-01-22 02:44:46.341461
/watch?v=ycocweb-rBo&pp=ygUGZGV0YWlu,/@msnow,MS NOW,Attorney detained by ICE describes his experience: 'Fueled by what I saw',506K,3 months,Chicago-based attorney Robert Held shared his story of being detained by ICE for 8 hours after protesting Trump's ...,2026-01-22 02:44:46.342688
/watch?v=zWDWZ6PJ8VU&pp=ygUGZGV0YWlu,/@ktlathecw,KTLA 5,Wife of South Korean man detained during green card interview speaks out,143K,1 month,The wife of a man taken into custody by ICE agents during his green card interview is publicly urging officials to halt his impending ...,2026-01-22 02:44:46.343867
/shorts/DXuUzsFbT2E,/@hamptonlawfirm,Hampton Law,How to Know if You're Being DETAINED 👮‍♂️ #KnowYourRights #LawyerReacts,668K,1 year,Did you know cops need reasonable suspicion to detain you and ask for your ID? Some cops don't even know this! This is ...,2026-01-22 02:44:46.345396
/watch?v=Dx5JSpJqH38&pp=ygUGZGV0YWlu,/@CBSChicago,CBS Chicago,Federal agents detain teenager in Little Village on way to school in Pilsen,4.8K,2 months,Federal agents detained a teenager who was on his way to school Thursday morning when he got a rapid response call for ...,2026-01-22 02:44:46.347120
/watch?v=JGJnJiQjEH0&pp=ygUGZGV0YWlu,/@kare11,KARE 11,"St. Paul U.S. citizen says ICE raided home without warrant, detained him at gunpoint",18K,1 day,"A St. Paul man says ICE agents broke down his door, pointed guns at him and his daughter-in-law, and detained him outside in ...",2026-01-22 02:44:46.348544
/watch?v=SINbE5lx8MU&pp=ygUGZGV0YWlu,/@abc7NY,Eyewitness News ABC7NY,Mayor Mamdani 'outraged' after NYC Council employee detained by ICE on Long Island,21K,8 days,"The employee was detained by ICE New York City officials during an appointment in Bethpage in Nassau County, according to ...",2026-01-22 02:44:46.349946
/watch?v=lSl90Ei5ys8&pp=ygUGZGV0YWlu,/@WVECTelevisionInc,13News Now,Judge issues order to prohibit immigration officials from detaining Kilmar Abrego Garcia,22K,1 month,"A federal judge blocked U.S. immigration authorities on Friday from re-detaining Kilmar Abrego Garcia, saying she feared they ...",2026-01-22 02:44:54.014123
/watch?v=K-IhRibBNgg&pp=ygUGZGV0YWlu,/@DarianLaw,Darian Immigration Law,🚨 Detained at the Airport — Even as a Green Card Holder?!,10K,2 months,A colleague recently shared a shocking story: their client — a lawful permanent resident — was detained for hours at JFK Airport ...,2026-01-22 02:44:54.017546
/watch?v=oQCYSzFQYmY&pp=ygUGZGV0YWlu,/@Foxla,FOX 11 Los Angeles,ICE agents detain US Citizen outside job in Southern California  | FOX 11 LA,216K,4 months,"ICE agents detained Rodrigo Almendarez, a U.S. citizen, outside his job in Simi Valley. Almendarez said the agents didn't identify ...",2026-01-22 02:44:54.020593
/watch?v=k0JmJBFU9mw&pp=ygUGZGV0YWlu,/@nbcwashington,NBC4 Washington,Family of Maryland mom detained by ICE seeks answers | NBC4 Washington,22K,1 month,A Maryland mother whose family says she was born in the U.S. was detained by federal agents and is now facing possible ...,2026-01-22 02:44:54.023278
/watch?v=7oNP3hlH9Yo&pp=ygUGZGV0YWlu,/@fox9,FOX 9 Minneapolis-St. Paul,LIVE | Rep. Samakab Hussein speaks out with St. Paul resident detained by ICE,1.3K,Streamed 6 hours,Rep. Samakab Hussein is holding a Wednesday afternoon news conference alongside Nasra Ahmed and her father Mohamed ...,2026-01-22 02:44:54.026769
/watch?v=wdh8NV7FHqw&pp=ygUGZGV0YWlu,/@KSTPTV,KSTP 5 Eyewitness News,"Somali Minneapolis resident details being wrongfully arrested, detained by ICE",23K,1 month,"A 20-year-old Minneapolis resident, joined by Mayor Jacob Frey and Police Chief Brian O'Hara, detailed his wrongful detainment ...",2026-01-22 02:44:54.030322
/watch?v=SXSIPiUgJpg&pp=ygUGZGV0YWlu,/@KHOU,KHOU 11,'I was born in College Station' U.S. citizen says ICE detained him for nearly two hours,205K,5 months,"He says agents handcuffed him, claimed he had a deportation order — and didn't believe he was a U.S. citizen. ""Bro, I was born in ...",2026-01-22 02:44:54.031700
/watch?v=s-e5K6jva3U&pp=ygUGZGV0YWlu,/@CBSMornings,CBS Mornings,"Teacher shouts ""I have papers"" as ICE agents detain her at Chicago day care",9.4K,2 months,Video shows the moment ICE agents detained a teacher at a Chicago day care center. Officials identified the woman as Diana ...,2026-01-22 02:44:54.036587
/watch?v=OCF4IBSO0O8&pp=ygUGZGV0YWlu,/@ABCNews,ABC News,ICE arrests woman with family link to White House press secretary Karoline Leavitt,214K,1 month,"U.S. immigration authorities have detained a woman who is the mother of White House press secretary Karoline Leavitt's nephew, ...",2026-01-22 02:44:54.041269
/watch?v=Uc1KLIHeOd8&pp=ygUGZGV0YWlu,/@justiceservedtelevision,Justice Served Television,"Racist Cop Tried To Detain a Black Magistrate Judge in Public, Now It’s Costing the City $2M",51K,1 month,A police officer made a career-ending mistake when he racially profiled a man reading with his granddaughter at a public library.,2026-01-22 02:44:54.044680
/watch?v=3VfD_LteWIk&pp=ygUGZGV0YWlu,/@NBCNewYork,NBC New York,ICE agents detain several people during operation on Canal Street in NYC | NBC New York,23K,3 months,Dozens of agents from Immigration and Customs Enforcement (ICE) and Homeland Security Investigations (HSI) were seen ...,2026-01-22 02:44:54.046040
/watch?v=pv4jrOa7iMM&pp=ygUGZGV0YWlu,/@CBSChicago,CBS Chicago,"ICE agents detain teacher, go room-to-room at Chicago daycare, parents and staff say",15K,2 months,Elected officials are calling for an investigation after parents and staff said a teacher at Rayito del Sol daycare was detained by ...,2026-01-22 02:44:54.049555
