video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=NgkXEt4J2Ys&pp=ygUGZGV0YWlu,/@QuiverDistribution,Quiver Distribution,Detained | Official Trailer,452K,1 year,"In the dead of night, Rebecca wakes in a decrepit precinct, accused of a hit-and-run. But a deadly scuffle reveals a sinister plot.",2026-01-22 02:44:32.065975
/watch?v=sn4_IxWr3z0&pp=ygUGZGV0YWlu,/@11Alive,11Alive,Georgia army veteran detained by ICE amid policy shift,5K,10 hours,"Godfrey Wade, a U.S. Army veteran, has been held in ICE custody for four months after a traffic stop, highlighting concerns over ...",2026-01-22 02:44:32.067894
/shorts/XupTdAE7-VY,/@kare11,KARE 11,U.S. citizen detained at gunpoint,65K,1 day,A St. Paul family has filed complaints with the ACLU of Minnesota and the Attorney General's Office after ICE agents detained ...,2026-01-22 02:44:32.072584
/watch?v=7yTZ3oDmgJ8&pp=ygUGZGV0YWlu,/@kare11,KARE 11,WATCH: U.S. citizen detained by ICE speaks about arrest,3.5K,Streamed 6 hours,"St. Paul resident and U.S. citizen Nasra Ahmed said she was detained ""unjustly"" by ICE for two days.",2026-01-22 02:44:32.075999
/shorts/kYsdIxwTqn8,/@fox9,FOX 9 Minneapolis-St. Paul,ICE detained Minnesota man for following agents: Is it legal?,1.1M,7 days,"A Woodbury man says he was detained by ICE agents for more than nine hours because he followed them, marking a new battle ...",2026-01-22 02:44:32.077428
/shorts/q3BNL5SrQ38,/@dailymail,Daily Mail World,ICE detain man dressed as Pikachu,695,11 hours,He was alleged to have been arrested for blocking the Whipple Federal Building. IRT Media via Storyful #shorts #news #ice ...,2026-01-22 02:44:32.080992
/watch?v=GWHkEkUrATg&pp=ygUGZGV0YWlu,/@cbs8sandiego,CBS 8 San Diego,"ICE agents detain immigrants during green card interviews, local attorneys warn",84K,2 months,Immigration attorneys are raising alarms after reports that U.S. Immigration and Customs Enforcement is detaining immigrants ...,2026-01-22 02:44:32.084582
/shorts/l04v9UBc4-o,/@nowthisimpact,NowThis Impact,ICE Agents Mistakenly Detain Phoenix Man,1.2M,10 days,ICE agents grabbed his wife's phone to stop her from recording.,2026-01-22 02:44:32.086068
/shorts/h-KygRzOMFw,/@JUSTICE_COURT01,JUSTICE & COURT,"ICE Detained a Man After a Traffic Stop 🛑 , One Digit Changed the Outcome⚖️",68K,5 hours,"ICE detained a man following a routine traffic stop after records appeared to match a prior removal order. In court, a judge found ...",2026-01-22 02:44:32.088996
/watch?v=f98T6-Gfcj8&pp=ygUGZGV0YWlu,/@SenatorDurbin,SenatorDurbin,U.S. Citizen and Illinoisan Shares Her Experience Being Violently Detained By ICE,580K,1 month,NEVER ASKED ME FOR MY ID AND NEVER TOLD ME WHERE I WAS BEING DETAINED OR WHY THEY NEVER READ ME MY ...,2026-01-22 02:44:32.090853
/watch?v=Inn-sfiMcyE&pp=ygUGZGV0YWlu,/@kare11,KARE 11,Taken by ICE & Detained | Breaking the News Plus,142K,9 days,What is it like in the Minneapolis ICE Detention Center? Patty O'Keefe & Brandon Siguenza join Jana to discuss their experience ...,2026-01-22 02:44:32.093637
/shorts/a5CHfMPwMDM,/@BreakThroughNews,BreakThrough News,Combat veteran assaulted and detained by ICE,28K,1 day,ICE agents assaulted and detained an Iraq war veteran while he was observing a protest in Minneapolis.,2026-01-22 02:44:32.097196
/shorts/hBupe113iKU,/@NewsNation,NewsNation,Protester detained by ICE for allegedly assaulting officer,12K,2 days,"""You're not so tough now, B-word,"" a protester claims ICE told her as they detained her for allegedly assaulting officers and ...",2026-01-22 02:44:32.099669
/shorts/QlokzdAJQhg,/@theconnectpod,The Connect: With Johnny Mitchell,Cops Can Detain You Without Arrest For How Long?!!,73K,3 weeks,crime #trap #shorts Los Angeles criminal defense attorney Rosenberg talks about how long police can legally detain a suspect ...,2026-01-22 02:44:32.103842
/watch?v=YXkpEt6dyPs&pp=ygUGZGV0YWlu,/@fox9,FOX 9 Minneapolis-St. Paul,Woman detained by ICE: 'I thought I was going to die',17K,5 days,"Aliya Rahman, a U.S. citizen who says she was traveling to a medical appointment for a brain injury, was released from custody ...",2026-01-22 02:44:32.107115
/shorts/oJ1Fq5OZwQA,/@scrippsnews,Scripps News,Federal Agents Detain Target Workers in Minneapolis After ICE Shooting of Renee Good,71K,7 days,"A video showing federal immigration agents detaining two Target employees in the Minneapolis area is drawing outrage online, ...",2026-01-22 02:44:32.112896
/watch?v=rxa3zwujBLg&pp=ygUGZGV0YWlu,/@nypost,New York Post,Watch Moment ICE Agents Detain Woman at Salt Lake City Airport,38K,2 months,Surveillance footage captured the moment ICE agents detained a woman at Salt Lake City International Airport on October 29.,2026-01-22 02:44:32.115936
/watch?v=zP3RVZc9m68&pp=ygUGZGV0YWlu,/@WKYCChannel3,WKYC Channel 3,Judge rules feds in Minneapolis immigration operation can’t detain or tear gas peaceful protesters,230K,4 days,Federal officers in the Minneapolis-area participating in its largest recent U.S. immigration enforcement operation can't detain or ...,2026-01-22 02:44:32.120373
/watch?v=OXgSVUlHC5U&pp=ygUGZGV0YWlu,/@cbs8sandiego,CBS 8 San Diego,"More immigrants detained at green card interviews, attorneys say",62K,1 month,"Last week, CBS 8 spoke with an immigration attorney who said their client was detained at their green card interview. Following ...",2026-01-22 02:44:39.913750
/watch?v=bkjUlOjMr7o&pp=ygUGZGV0YWlu,/@CBSNews,CBS News,"Number of non-criminal migrants detained by ICE soars, data shows",122K,1 month,"The number of non-criminal detainees arrested by ICE since January 2025 is up by more than 2000%, data shows. CBS News ...",2026-01-22 02:44:39.915022
/watch?v=cYHXfxn2mLY&pp=ygUGZGV0YWlu0gcJCYcKAYcqIYzv,/@APT_NEWS,APT,"ICE Agents Raid Minnesota House and Detain Man as Observers Honk, Heckle Amid Rising Tensions | APT",15K,2 days,"Federal immigration agents continued raids in Minnesota on Sunday as part of a broader enforcement operation, in one case ...",2026-01-22 02:44:39.916100
/watch?v=wa1ymCGp_a8&pp=ygUGZGV0YWlu,/@fox9,FOX 9 Minneapolis-St. Paul,U.S. citizens detained by ICE in the Twin Cities,9K,1 month,ICE operations have led to United States citizens being detained. FOX 9's Mike Manzoni has the latest. FOX 9 is your source for ...,2026-01-22 02:44:39.917322
